,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
58604,Cook Islands,More than 10 years,45–64,Female,One or more long-term health condition(s),537.0,1267.0,42.3835832675611,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58605,Cook Islands,More than 10 years,65 and over,Persons,One or more long-term health condition(s),421.0,623.0,67.5762439807383,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58606,Cook Islands,More than 10 years,65 and over,Male,One or more long-term health condition(s),199.0,292.0,68.1506849315068,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58607,Cook Islands,More than 10 years,65 and over,Female,One or more long-term health condition(s),222.0,331.0,67.0694864048338,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58608,Fiji,0–10 years,00–44,Persons,One or more long-term health condition(s),973.0,10074.0,9.65852690093309,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58609,Fiji,0–10 years,00–44,Male,One or more long-term health condition(s),438.0,5159.0,8.49001744524132,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58610,Fiji,0–10 years,00–44,Female,One or more long-term health condition(s),535.0,4915.0,10.8850457782299,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58611,Fiji,0–10 years,45–64,Persons,One or more long-term health condition(s),720.0,2576.0,27.9503105590062,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58612,Fiji,0–10 years,45–64,Male,One or more long-term health condition(s),340.0,1238.0,27.4636510500807,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58613,Fiji,0–10 years,45–64,Female,One or more long-term health condition(s),380.0,1338.0,28.4005979073243,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58614,Fiji,0–10 years,65 and over,Persons,One or more long-term health condition(s),516.0,860.0,60.0,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58615,Fiji,0–10 years,65 and over,Male,One or more long-term health condition(s),206.0,326.0,63.1901840490797,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58616,Fiji,0–10 years,65 and over,Female,One or more long-term health condition(s),310.0,534.0,58.0524344569288,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58617,Fiji,More than 10 years,00–44,Persons,One or more long-term health condition(s),3768.0,18230.0,20.6692265496434,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58618,Fiji,More than 10 years,00–44,Male,One or more long-term health condition(s),1587.0,8306.0,19.1066698771972,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58619,Fiji,More than 10 years,00–44,Female,One or more long-term health condition(s),2181.0,9924.0,21.9770253929867,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58620,Fiji,More than 10 years,45–64,Persons,One or more long-term health condition(s),9371.0,23421.0,40.0111011485419,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58621,Fiji,More than 10 years,45–64,Male,One or more long-term health condition(s),4329.0,10677.0,40.5450969373419,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58622,Fiji,More than 10 years,45–64,Female,One or more long-term health condition(s),5042.0,12744.0,39.5637162586315,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58623,Fiji,More than 10 years,65 and over,Persons,One or more long-term health condition(s),6910.0,10267.0,67.303009642544,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58624,Fiji,More than 10 years,65 and over,Male,One or more long-term health condition(s),3124.0,4610.0,67.765726681128,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58625,Fiji,More than 10 years,65 and over,Female,One or more long-term health condition(s),3786.0,5657.0,66.9259324730422,Fijian Hindustani,Not specified,Oceania and Antarctica,Polynesia
58626,French Polynesia,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58627,French Polynesia,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58628,French Polynesia,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58629,French Polynesia,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58630,French Polynesia,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58631,French Polynesia,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58632,French Polynesia,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58633,French Polynesia,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58634,French Polynesia,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58635,French Polynesia,More than 10 years,00–44,Persons,One or more long-term health condition(s),31.0,127.0,24.4094488188976,French,Not specified,Oceania and Antarctica,Polynesia
58636,French Polynesia,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58637,French Polynesia,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58638,French Polynesia,More than 10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58639,French Polynesia,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58640,French Polynesia,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58641,French Polynesia,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58642,French Polynesia,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58643,French Polynesia,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Polynesia
58644,Niue,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58645,Niue,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58646,Niue,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58647,Niue,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58648,Niue,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58649,Niue,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58650,Niue,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58651,Niue,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58652,Niue,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58653,Niue,More than 10 years,00–44,Persons,One or more long-term health condition(s),44.0,172.0,25.5813953488372,Niue,Not specified,Oceania and Antarctica,Polynesia
58654,Niue,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58655,Niue,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58656,Niue,More than 10 years,45–64,Persons,One or more long-term health condition(s),144.0,390.0,36.9230769230769,Niue,Not specified,Oceania and Antarctica,Polynesia
58657,Niue,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58658,Niue,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58659,Niue,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58660,Niue,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
58661,Niue,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Niue,Not specified,Oceania and Antarctica,Polynesia
